CCI_code,CCI_description
1AA13HAC2,"Control of bleeding, meninges and dura mater of brain using percutaneous (needle) injection of antihemorrhagic agent [antifibrinolytic]"
1AA13SEC2,"Control of bleeding, meninges and dura mater of brain using injection of antihemorrhagic agent into burr hole"
1AA35HA1C,"Pharmacotherapy (local), meninges and dura mater of brain, percutaneous [needle] approach using thrombolytic agent"
1AA35HAC1,"Pharmacotherapy (local), meninges and dura mater of brain percutaneous (needle) approach using antithrombotic agent"
1AA35HAK0,"Pharmacotherapy (local), meninges and dura mater of brain percutaneous (needle) approach using antiinfective agent NEC"
1AA35HAM0,"Pharmacotherapy (local), meninges and dura mater of brain percutaneous (needle) approach using antineoplastic agent NEC"
1AA35HAT9,"Pharmacotherapy (local), meninges and dura mater of brain percutaneous (needle) approach using other pharmacological agent NEC"
1AA35HH1C,"Pharmacotherapy (local), meninges and dura mater of brain, percutaneous transcatheter approach using thrombolytic agent"
1AA35HHC1,"Pharmacotherapy (local), meninges and dura mater of brain percutaneous transcatheter approach using antithrombotic agent"
1AA35HHK0,"Pharmacotherapy (local), meninges and dura mater of brain percutaneous transcatheter approach using antiinfective agent NEC"
1AA35HHM0,"Pharmacotherapy (local), meninges and dura mater of brain percutaneous transcatheter approach using antineoplastic agent NEC"
1AA35HHT9,"Pharmacotherapy (local), meninges and dura mater of brain percutaneous transcatheter approach using other pharmacological agent NEC"
1AA52HA,"Drainage, meninges and dura mater of brain percutaneous approach (e.g. by needle or through fontanelle) drainage alone [without catheter in situ]"
1AA52MESJ,"Drainage, meninges and dura mater of brain open craniotomy/craniectomy flap approach shunt terminating in abdominal cavity (e.g. peritoneum)"
1AA52SE,"Drainage, meninges and dura mater of brain burr hole technique drainage alone [without catheter in situ]"
1AA52SEAZ,"Drainage, meninges and dura mater of brain burr hole technique ultrasonic device [CUSA]"
1AA52SENC,"Drainage, meninges and dura mater of brain burr hole technique negative pressure device (e.g. vacuum system)"
1AA52SETS,"Drainage, meninges and dura mater of brain burr hole technique leaving drainage tube [catheter] in situ"
1AA52SZ,"Drainage, meninges and dura mater of brain open craniotomy/craniectomy flap approach drainage alone [without catheter in situ]"
1AA52SZAZ,"Drainage, meninges and dura mater of brain open craniotomy/craniectomy flap approach ultrasonic device [CUSA]"
1AA52SZNC,"Drainage, meninges and dura mater of brain open craniotomy/craniectomy flap approach negative pressure device (e.g. vacuum system)"
1AA52SZTS,"Drainage, meninges and dura mater of brain open craniotomy/craniectomy flap approach leaving drainage tube [catheter] in situ"
1AA53SEPL,"Implantation of internal device, meninges and dura mater of brain of pressure monitoring device using burr hole technique"
1AA53SZPL,"Implantation of internal device, meninges and dura mater of brain of pressure monitoring device using open craniotomy [craniectomy] flap approach"
1AA54HATS,"Management of internal device, meninges and dura mater of brain, irrigation drainage tube [catheter], percutaneous  [needle] approach"
1AA54MESJ,"Management of internal device, meninges and dura mater of brain, shunt system terminating in the abdominal cavity (e.g. peritoneum), open approach"
1AA54MPSJ,"Management of internal device, meninges and dura mater of brain, shunt system terminating in other site, open approach"
1AA55SETS,"Removal of device, meninges and dura mater of brain of drainage tube [catheter] using burr hole technique"
1AA55SZPL,"Removal of device, meninges and dura mater of brain of pressure monitoring device using open craniotomy flap approach"
1AA55SZSJ,"Removal of device, meninges and dura mater of brain of shunt system using open craniotomy flap approach"
1AA80SZ,"Repair, meninges and dura mater of brain using apposition technique [e.g. suture]"
1AA80SZW3,"Repair, meninges and dura mater of brain using fibrin [glue]"
1AA80SZXXA,"Repair, meninges and dura mater of brain using autograft [e.g. pericranium, fascia lata]"
1AA80SZXXK,"Repair, meninges and dura mater of brain using homograft [e.g. freeze dried donor dura]"
1AA80SZXXL,"Repair, meninges and dura mater of brain using xenograft [e.g. bovine]"
1AA80SZXXN,"Repair, meninges and dura mater of brain using synthetic tissue substitute [Silastic sheath]"
1AA87SZ,"Excision partial, meninges and dura mater of brain using apposition technique [e.g. suture]"
1AA87SZXXA,"Excision partial, meninges and dura mater of brain using autograft [e.g. pericranium, fascia lata]"
1AA87SZXXK,"Excision partial, meninges and dura mater of brain using homograft [e.g. freeze dried donor dura]"
1AA87SZXXL,"Excision partial, meninges and dura mater of brain using xenograft [e.g. bovine]"
1AA87SZXXN,"Excision partial, meninges and dura mater of brain using synthetic tissue substitute [Silastic sheath]"
1AB35HA1C,"Pharmacotherapy (local), subarachnoid, percutaneous  [needle] approach using thrombolytic agent"
1AB35HAC1,"Pharmacotherapy (local), subarachnoid percutaneous (needle) approach using antithrombotic agent"
1AB35HAK0,"Pharmacotherapy (local), subarachnoid percutaneous (needle) approach using antiinfective agent NEC"
1AB35HAM0,"Pharmacotherapy (local), subarachnoid percutaneous (needle) approach using antineoplastic agent NEC"
1AB35HAT9,"Pharmacotherapy (local), subarachnoid percutaneous (needle) approach using other pharmacological agent NEC"
1AB35HH1C,"Pharmacotherapy (local), subarachnoid, percutaneous transcatheter approach using thrombolytic agent"
1AB35HHC1,"Pharmacotherapy (local), subarachnoid using percutaneous transcatheter approach using anticoagulant agent"
1AB35HHK0,"Pharmacotherapy (local), subarachnoid using percutaneous transcatheter approach using antiinfective agent NEC"
1AB35HHM0,"Pharmacotherapy (local), subarachnoid using percutaneous transcatheter approach and antineoplastic agent NEC"
1AB35HHT9,"Pharmacotherapy (local), subarachnoid using percutaneous transcatheter approach and other pharmacological agent NEC"
1AB52DA,"Drainage, subarachnoid using endoscopic [neuroendoscopic] approach drainage alone (without catheter in situ)"
1AB52DATS,"Drainage, subarachnoid using endoscopic [neuroendoscopic] approach leaving drainage tube [catheter] in situ"
1AB52GISJ,"Drainage, subarachnoid using endoscopic [neuroendoscopic] approach with shunt terminating in circulatory system [e.g. cystoatrial]"
1AB52GJSJ,"Drainage, subarachnoid using endoscopic [neuroendoscopic] approach with shunt terminating in thoracic cavity [e.g. cystopleural]"
1AB52GNSJ,"Drainage, subarachnoid using endoscopic [neuroendoscopic] approach with shunt terminating in abdominal cavity [e.g. cystoperitoneal]"
1AB52MESJ,"Drainage, subarachnoid using craniotomy or craniectomy (flap) approach with shunt terminating in abdominal cavity [e.g. cystoperitoneal]"
1AB52MFSJ,"Drainage, subarachnoid using craniotomy or craniectomy (flap) approach with shunt terminating in circulatory system [e.g. cystoatrial]"
1AB52MQSJ,"Drainage, subarachnoid using craniotomy or craniectomy (flap) approach with shunt terminating in thoracic cavity [e.g. cystopleural]"
1AB52SE,"Drainage, subarachnoid burr hole technique drainage alone (without catheter in situ)"
1AB52SETS,"Drainage, subarachnoid burr hole technique leaving drainage tube [catheter] in situ"
1AB52SZ,"Drainage, subarachnoid using craniotomy or craniectomy (flap) approach drainage alone [without catheter in situ]"
1AB54HATS,"Management of internal device, subarachnoid, of drainage tube [catheter]"
1AB54MESJ,"Management of internal device, subarachnoid, of shunt system terminating in abdominal cavity [e.g. cystoperitoneal]"
