field,section,idx,description,include,subsection_descr,placeholder,atc_codes
Section,,1,Physical and physiological therapeutic interventions,,,,
Section,,2,Diagnostic interventions,,,,
Section,,3,Diagnostic imaging interventions,,,,
Section,,5,Obstetrical and fetal interventions,,,,
Section,,6,"Cognitive, psychosocial and sensory therapeutic interventions",,,,
Section,,7,Other healthcare interventions,,,,
Section,,8,Therapeutic interventions strengthening the immune system and/or genetic composition,,,,
Group,1,AA,Meninges and dura mater of brain,"dura mater of brain, epidural space [of brain], subdural space [of brain], fossa (frontal, temporal and posterior clinoid), falx",Therapeutic Interventions on the Nervous System,1,
Group,1,AB,Subarachnoid,"arachnoid tissue of brain, basal cisterns, subarachnoid space",Therapeutic Interventions on the Nervous System,1,
Group,1,AC,Ventricles of brain,"aqueduct of Sylvius, cerebral ventricles [lateral, 3rd and 4th], choroid plexus of 3rd and 4th ventricles, Dandy Walker malformation of 4th ventricle, foramen of Monro, Luschka and Magendie",Therapeutic Interventions on the Nervous System,1,
Group,1,AE,Thalamus and basal ganglia,"caudate, hypothalamus, fornix, globus pallidus, internal capsule, lemniscal pathway, lentiform nuclei, putamen, superior and inferior vagal ganglia",Therapeutic Interventions on the Nervous System,1,
Group,1,AF,Pituitary region,"cavernous sinus, craniobuccal pouch hypophysis cerebri, hypophyseal fossa, parasella, petrosal sinus, pituitary fossa, Rathke's pouch, sella turcica, sella, suprasella",Therapeutic Interventions on the Nervous System,1,
Group,1,AG,Pineal gland, pineal recess,Therapeutic Interventions on the Nervous System,1,
Group,1,AJ,Cerebellum,,Therapeutic Interventions on the Nervous System,1,
Group,1,AK,Cerebellopontine angle," choroid plexus of cerebellopontine angle, cisterna, acoustic [vestibular] nerve within the cerebellopontine angle, facial nerve [intracranial] within cerebellopontine angle",Therapeutic Interventions on the Nervous System,1,
Group,1,AN,Brain," ansa, brain NEC, cingulum, cingulate cortex, corpus callosum, lobes of brain [parietal, occipital, frontal and temporal], septum pellucidum",Therapeutic Interventions on the Nervous System,1,
Group,1,AP,Brain stem,"midbrain, pons, medulla oblongata, mesencephalon, cerebral peduncle, tectal plate, Chiari malformations of brain stem [hindbrain]",Therapeutic Interventions on the Nervous System,1,
Group,1,AW,Spinal cord," cauda equina, cervical and thoracic spinal cord, conus medullaris, intramedullary spine, spinal nerve roots, spinal nerve NEC",Therapeutic Interventions on the Nervous System,1,
Group,1,AX,Spinal canal and meninges," cerebral spinal fluid (CSF) of spine, meninges of spinal cord, dura of spinal cord, spinal theca, subarachnoid (and subdural) space of spine, epidural (or extradural) space of spine",Therapeutic Interventions on the Nervous System,1,
Group,1,AZ,Central nervous system,,Therapeutic Interventions on the Nervous System,1,
Group,1,BA,Cranial nerves,"intracranial nerves, olfactory CN I, optic CN II, oculomotor CN III, trochlear CN IV, abducent CN VI, trigeminal CN V, gasserian ganglion[intracranial portion], facial CN VII, glossopharyngeal CN IX [intracranial], hypoglossal CN XII [intracranial], vagus CN X, accessory CN XI [intracranial]",Therapeutic Interventions on the Nervous System,1,
Group,1,BB,Other nerves of head and neck,"facial nerve, accessory nerve CN XI [extracranial], cervical plexus [C2-C4], cranial nerve [extracranial], dental nerve, facial nerve CNVII [extracranial], gasserian ganglion [extracranial portion], glossopharyngeal CN IX [extracranial], hypoglossal nerve CN XII [extracranial], laryngeal nerve, mental nerve, pharyngeal nerve, transverse [superficial] cervical nerve, trigeminal nerve [extracranial], vagus nerve, head and neck region",Therapeutic Interventions on the Nervous System,1,
Group,1,BD,Nerve(s) of the ear,"vestibular nerve, ampullary nerve [anterior, lateral and posterior], auditory nerve, auricular nerve [greater], auriculotemporal nerve, cochlear nerve, saccular nerve, tympanic nerve, utricular nerve, vestibulocochlear nerve CN VIII",Therapeutic Interventions on the Nervous System,1,
Group,1,BF,Sympathetic nerves,"celiac nerve, parasympathetic ganglia, peripheral autonomic nervous system, perivascular plexus, splanchnic nerve, stellate ganglia",Therapeutic Interventions on the Nervous System,1,
Group,1,BG,Brachial plexus,"antebrachial nerve, brachial plexus [lateral, medial and posterior cord], cervical spinal nerves [C5, C6, C7, C8 and T1], intercostal nerve, scalenus plexus, supraclavicular plexus, scapular nerve, spinal nerves [C5, C6, C7, C8 and T1], thoracic nerve, thoracic spinal nerve [T1], thoracodorsal nerve",Therapeutic Interventions on the Nervous System,1,
Group,1,BJ,Phrenic nerve,,Therapeutic Interventions on the Nervous System,1,
Group,1,BK,Vagus nerve,"thoracoabdominal branches of vagal nerve, esophageal, cardiac and renal plexus, vagal trunk [celiac, hepatic, gastric, splenic, pancreatic branches], gastric nerve",Therapeutic Interventions on the Nervous System,1,
Group,1,BM,Nerve(s) of upper arm and elbow,"axillary nerve, cubital tunnel, cutaneous nerve of upper arm, median nerve NEC, radial nerve NEC, radial tunnel, suprascapular nerve, ulnar nerve NEC",Therapeutic Interventions on the Nervous System,1,
Group,1,BN,Nerve(s) of forearm and wrist,"carpal tunnel, Guyon's canal, median nerve at level of forearm and wrist, ulnar nerve at level of forearm and wrist, posterior interosseous nerve",Therapeutic Interventions on the Nervous System,1,
Group,1,BP,Nerve(s) of hand,"nerves at palmar level, palmar median nerve",Therapeutic Interventions on the Nervous System,1,
Group,1,BQ,Nerve(s) of digit of hand," digital nerve NOS, median digital nerve, radial digital nerve",Therapeutic Interventions on the Nervous System,1,
Group,1,BR,Nerves of arm,,Therapeutic Interventions on the Nervous System,1,
Group,1,BS,"Nerve(s) of pelvis, hip and thigh (and lower trunk)","femoral nerve, femoral cutaneous nerve, genitofemoral nerve, ilioinguinal nerve, lumbar plexus, obturator nerve, pelvic plexus, pudendal nerve, sacral plexus, sciatic nerve NOS",Therapeutic Interventions on the Nervous System,1,
Group,1,BT,Nerve(s) of lower leg,"nerves at ankle, nerves at knee, peroneal nerve NEC, saphenous nerve, sural nerve, tarsal tunnel, tibial nerve NEC, sciatic nerve at tibial level",Therapeutic Interventions on the Nervous System,1,
Group,1,BX,Peripheral nerves NEC,nerve NEC,Therapeutic Interventions on the Nervous System,1,
Group,1,BZ,Nervous system,,Therapeutic Interventions on the Nervous System,1,
Group,1,CC,Cornea,"corneal epithelium, Bowman's membrane [layer][anterior lamina] stroma, Descemet's membrane [posterior elastic lamina] corneal endothelium",Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CD,Sclera,"limbus [border], sclerocorneal junction [corneoscleral junction], Schlemm's canal",Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CE,Cornea with sclera,,Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CF,Choroid,,Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CG,Ciliary body,,Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CH,Iris,pupil,Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CJ,Anterior Chamber,"anterior chamber angle, anterior segment, trabecular meshwork",Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CL,Lens,"capsule, cortex, nucleus",Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CM,Vitreous,,Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CN,Retina,,Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CP,Soft tissue of orbit and eyeball NEC,"eyeball NOS, soft tissue of orbit",Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CQ,Ocular muscles and tendons,,Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CR,Fascia of eye, Tenon's capsule,Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CS,Conjunctiva,inner eyelid,Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CT,Lacrimal secretory system,lacrimal gland,Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CU,Lacrimal excretory system,"lacrimal ducts, lacrimal sac, nasolacrimal punctum, nasolacrimal canaliculi, nasolacrimal sac, nasolacrimal duct",Therapeutic Interventions on the Eye and Ocular Adnexa,2,
