row_id,count,search_type,raw_input,rxnorm_match,drug_group,times_validated,SME_confirm,SME_comment
1,1271,med_id_generic_name_raw,insulin regular,insulin,insulin,2+,T,
2,722,med_id_generic_name_raw,insulin humulin r,insulin,insulin,2+,T,
3,671,med_id_generic_name_raw,tazocin (fk) 4.5g in 100ml ns,insulin,insulin,0,T,
4,600,med_id_brand_name_raw,lilly,insulin,insulin,0,F,
5,332,med_id_din,00586714,insulin,insulin,0,T,exclude from cohort
6,322,med_id_generic_name_raw,insulin-humulin r,insulin,insulin,2+,T,
7,292,med_id_generic_name_raw,insulin-humulin r prn bolus,insulin,insulin,2+,T,
8,271,med_id_generic_name_raw,insulin humulin r (regular),insulin,insulin,2+,T,
9,198,med_id_generic_name_raw,insulin humulin regular inj,insulin,insulin,0,T,
10,188,med_id_brand_name_raw,"humulin r vial 3 ml, novolin ge toronto",insulin,insulin,0,T,
11,134,med_id_generic_name_raw,insulin u-100 regular human 100 unit/ml injection solution,insulin,insulin,0,T,
12,100,med_id_din,02403447,insulin,insulin,0,T,
13,88,med_id_generic_name_raw,tazocin 3.375g in 100ml ns,insulin,insulin,0,T,exclude from cohort
14,76,med_id_generic_name_raw,"insulin regular, human",insulin,insulin,0,T,
15,75,med_id_generic_name_raw,insulin - humulin r  (kit),insulin,insulin,2+,T,
16,74,med_id_generic_name_raw,humulin r insulin 100 unit/ml 3 ml vial,insulin,insulin,0,T,
17,53,med_id_generic_name_raw,"insulin regular 100 unit/ml vial (1,000 unit/10 ml)",insulin,insulin,0,T,
18,51,med_id_generic_name_raw,insulin regular 100 units in 100 ml (1 unit/ml) continuous infusion,insulin,insulin,0,T,
19,46,med_id_generic_name_raw,humulin r insulin 100 unit/ml  3 ml pen,insulin,insulin,0,T,
20,45,med_id_generic_name_raw,insulin humulin nph,insulin,insulin,0,T,
21,43,med_id_generic_name_raw,insulin regular (humulin r kwikpen),insulin,insulin,0,T,
22,42,med_id_brand_name_raw,humulin r kwikpen,insulin,insulin,2+,T,
23,39,med_id_brand_name_raw,humulin n kwikpen,insulin,insulin,2+,T,
24,30,med_id_din,02415089,insulin,insulin,0,T,
25,26,med_id_hospital_code_raw,insulin regular (humulin r) 100 unit/ml iv direct,insulin,insulin,0,T,
26,24,med_id_hospital_code_raw,humulin r inj** 100 units + d5w* 99 ml + insulin t,insulin,insulin,0,T,
27,23,med_id_din,01959239,insulin,insulin,0,T,
