search_type,raw_input,rxnorm_match,SME_confirm,drug_group
med_id_generic_name_raw,insulin regular,insulin,TRUE,insulin
med_id_generic_name_raw,insulin humulin r,insulin,TRUE,insulin
med_id_generic_name_raw,tazocin (fk) 4.5g in 100ml ns,insulin,TRUE,insulin
med_id_din,00586714,insulin,TRUE,insulin
med_id_generic_name_raw,insulin-humulin r,insulin,TRUE,insulin
med_id_generic_name_raw,insulin-humulin r prn bolus,insulin,TRUE,insulin
med_id_generic_name_raw,insulin humulin r (regular),insulin,TRUE,insulin
med_id_generic_name_raw,insulin humulin regular inj,insulin,TRUE,insulin
med_id_brand_name_raw,"humulin r vial 3 ml, novolin ge toronto",insulin,TRUE,insulin
med_id_generic_name_raw,insulin u-100 regular human 100 unit/ml injection solution,insulin,TRUE,insulin
med_id_din,02403447,insulin,TRUE,insulin
med_id_generic_name_raw,tazocin 3.375g in 100ml ns,insulin,TRUE,insulin
med_id_generic_name_raw,"insulin regular, human",insulin,TRUE,insulin
med_id_generic_name_raw,insulin - humulin r  (kit),insulin,TRUE,insulin
med_id_generic_name_raw,humulin r insulin 100 unit/ml 3 ml vial,insulin,TRUE,insulin
med_id_generic_name_raw,"insulin regular 100 unit/ml vial (1,000 unit/10 ml)",insulin,TRUE,insulin
med_id_generic_name_raw,insulin regular 100 units in 100 ml (1 unit/ml) continuous infusion,insulin,TRUE,insulin
med_id_generic_name_raw,humulin r insulin 100 unit/ml  3 ml pen,insulin,TRUE,insulin
med_id_generic_name_raw,insulin humulin nph,insulin,TRUE,insulin
med_id_generic_name_raw,insulin regular (humulin r kwikpen),insulin,TRUE,insulin
med_id_brand_name_raw,humulin r kwikpen,insulin,TRUE,insulin
med_id_brand_name_raw,humulin n kwikpen,insulin,TRUE,insulin
med_id_din,02415089,insulin,TRUE,insulin
med_id_hospital_code_raw,insulin regular (humulin r) 100 unit/ml iv direct,insulin,TRUE,insulin
med_id_hospital_code_raw,humulin r inj** 100 units + d5w* 99 ml + insulin t,insulin,TRUE,insulin
med_id_din,01959239,insulin,TRUE,insulin
med_id_generic_name_raw,insulin isophane-insulin regular,insulin,TRUE,insulin
med_id_hospital_code_raw,correction scale insulin regular (humulin r),insulin,TRUE,insulin
med_id_hospital_code_raw,insulin nph (humulin n) 100 unit/ml-3 ml pen,insulin,TRUE,insulin
med_id_generic_name_raw,test drug 1,test match 1,TRUE,
med_id_generic_name_raw,test drug 2,test match 2,TRUE,
med_id_generic_name_raw,test drug 3,test match 3,TRUE,
